ID,Name_Lang_enUS,Effect_1,EffectItemType_1,Effect_2,EffectItemType_2,Effect_3,EffectItemType_3,Reagent_1,ReagentCount_1,Reagent_2,ReagentCount_2,Reagent_3,ReagentCount_3,Reagent_4,ReagentCount_4,Reagent_5,ReagentCount_5,Reagent_6,ReagentCount_6,Reagent_7,ReagentCount_7,Reagent_8,ReagentCount_8
587,Conjure Food,24,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Conjure Food,24,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,Create Soulstone,24,5232,0,0,0,0,6265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,Conjure Mana Gem,24,5514,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Create Fervor Potion,24,1450,0,0,0,0,878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,Conjure Food,24,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149,Handstitched Leather Boots,24,2302,0,0,0,0,2318,2,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2152,Light Armor Kit,24,2304,0,0,0,0,2318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,Handstitched Leather Pants,24,2303,0,0,0,0,2318,4,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2156,Light Winter Cloak,24,2305,0,0,0,0,2318,8,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2157,Light Winter Boots,24,2306,0,0,0,0,2318,6,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2158,Fine Leather Boots,24,2307,0,0,0,0,2318,7,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2159,Fine Leather Cloak,24,2308,0,0,0,0,2318,10,2321,2,0,0,0,0,0,0,0,0,0,0,0,0
2160,Embossed Leather Vest,24,2300,0,0,0,0,2318,8,2320,4,0,0,0,0,0,0,0,0,0,0,0,0
2161,Embossed Leather Boots,24,2309,0,0,0,0,2318,8,2320,5,0,0,0,0,0,0,0,0,0,0,0,0
2162,Embossed Leather Cloak,24,2310,0,0,0,0,2318,5,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2163,White Leather Jerkin,24,2311,0,0,0,0,2318,8,2320,2,2324,1,0,0,0,0,0,0,0,0,0,0
