id,name
118,Minor Healing Potion
159,Refreshing Spring Water
723,Goretusk Liver
724,Goretusk Liver Pie
729,Stringy Vulture Meat
730,Murloc Eye
731,Goretusk Snout
733,Westfall Stew
765,Silverleaf
769,Chunk of Boar Meat
774,Malachite
783,Light Hide
785,Mageroyal
787,Slitherskin Mackerel
814,Flask of Oil
818,Tigerseye
858,Lesser Healing Potion
878,Fist-sized Spinneret
929,Healing Potion
954,Scroll of Strength
955,Scroll of Intellect
1015,Lean Wolf Flank
1017,Seasoned Wolf Kabob
1080,Tough Condor Meat
1081,Crisp Spider Meat
1082,Redridge Goulash
1113,Conjured Bread
1114,Conjured Rye
1179,Ice Cold Milk
1180,Scroll of Stamina
1181,Scroll of Spirit
1206,Moss Agate
1210,Shadowgem
1251,Linen Bandage
1288,Large Venom Sac
1450,Potion of Fervor
1468,Murloc Fin
1475,Small Venom Sac
1477,Scroll of Agility II
1487,Conjured Pumpernickel
1529,Jade
1705,Lesser Moonstone
1710,Greater Healing Potion
1711,Scroll of Stamina II
1712,Scroll of Spirit II
2136,Conjured Purified Water
2251,Gooey Spider Leg
2288,Conjured Fresh Water
2289,Scroll of Strength II
2290,Scroll of Intellect II
2300,Embossed Leather Vest
2302,Handstitched Leather Boots
2303,Handstitched Leather Pants
2304,Light Armor Kit
2305,Deprecated Light Winter Cloak
2306,Deprecated Light Winter Boots
2307,Fine Leather Boots
2308,Fine Leather Cloak
2309,Embossed Leather Boots
2310,Embossed Leather Cloak
2311,White Leather Jerkin
2312,Fine Leather Gloves
2313,Medium Armor Kit
2314,Toughened Leather Armor
2315,Dark Leather Boots
2316,Dark Leather Cloak
2317,Dark Leather Tunic
2318,Light Leather
2319,Medium Leather
2320,Coarse Thread
2321,Fine Thread
2324,Bleach
2325,Black Dye
2447,Peacebloom
2449,Earthroot
2450,Briarthorn
2452,Swiftthistle
2453,Bruiseweed
2454,Elixir of Lion&apos;s Strength
2455,Minor Mana Potion
2456,Minor Rejuvenation Potion
2457,Elixir of Minor Agility
2458,Elixir of Minor Fortitude
2459,Swiftness Potion
2460,Elixir of Tongues (NYI)
2568,Brown Linen Vest
2569,Linen Boots
2570,Linen Cloak
2572,Red Linen Robe
2575,Red Linen Shirt
2576,White Linen Shirt
2577,Blue Linen Shirt
2578,Barbaric Linen Vest
2579,Green Linen Shirt
2580,Reinforced Linen Cape
2581,Heavy Linen Bandage
2582,Green Woolen Vest
2583,Woolen Boots
2584,Woolen Cape
2585,Gray Woolen Robe
2587,Gray Woolen Shirt
2589,Linen Cloth
2592,Wool Cloth
2593,Flask of Port
2594,Flagon of Mead
2596,Skin of Dwarven Stout
2604,Red Dye
2605,Green Dye
2672,Stringy Wolf Meat
2673,Coyote Meat
2674,Crawler Meat
2675,Crawler Claw
2677,Boar Ribs
2678,Mild Spices
2679,Charred Wolf Meat
