id,name,quality
25,Worn Shortsword,1
35,Bent Staff,1
36,Worn Mace,1
37,Worn Axe,1
38,Recruit's Shirt,1
39,Recruit's Pants,0
40,Recruit's Boots,1
41,OLDRecruit's Belt,1
42,OLDSquire's Belt,1
43,Squire's Boots,1
44,Squire's Pants,0
45,Squire's Shirt,1
46,OLDFootpad's Belt,1
47,Footpad's Shoes,1
48,Footpad's Pants,0
49,Footpad's Shirt,1
50,OLDInitiate's Belt,1
51,Neophyte's Boots,1
52,Neophyte's Pants,0
53,Neophyte's Shirt,1
54,OLDNovice's Belt,1
55,Apprentice's Boots,1
56,Apprentice's Robe,0
57,Acolyte's Robe,0
58,OLDAcolyte's Belt,1
59,Acolyte's Shoes,1
60,Layered Tunic,1
61,Dwarven Leather Pants,1
77,Deprecated Outfitter Cloth Armor,1
79,Dwarven Cloth Britches,1
80,Soft Fur-lined Shoes,1
85,Dirty Leather Vest,1
86,Deprecated Old Belt,1
87,Deprecated Old Boots,1
88,Deprecated Old Pants,0
89,OLDThick Trapper's Shirt,1
90,OLDDwarven Initiate's Belt,1
91,OLDDwarven Initiate's Pants,0
92,OLDDwarven Initiate's Boots,1
93,OLDDwarven Initiate's Shirt,1
94,Deprecated Dwarven Novice's Belt,1
95,Deprecated Dwarven Novice's Boots,1
97,Deprecated Dwarven Novice's Robe,0
98,Deprecated Dwarven Squire's Belt,1
99,Deprecated Dwarven Squire's Boots,1
100,Deprecated Dwarven Squire's Pants,0
101,Deprecated Dwarven Squire's Shirt,1
102,Deprecated Dwarven Recruit's Belt,1
103,Deprecated Dwarven Recruit's Boots,1
104,Deprecated Sturdy Brown Pants,0
105,Deprecated Dwarven Recruit's Shirt,1
113,Deprecated Dwarven Apprentice Pants,0
114,Deprecated Dwarven Apprentice Boots,1
115,Deprecated Dwarven Apprentice Belt,1
117,Tough Jerky,1
118,Minor Healing Potion,1
119,Deprecated Rogue's Vest,1
120,Thug Pants,0
121,Thug Boots,1
122,OLDThug Belt,1
123,Deprecated Orc Apprentice Shirt,1
124,Deprecated Orc Apprentice Pants,0
125,Deprecated Orc Apprentice Boots,1
126,Deprecated Orc Apprentice Belt,1
127,Trapper's Shirt,1
128,Deprecated Tauren Trapper's Pants,0
129,Rugged Trapper's Boots,1
130,Deprecated Tauren Trapper's Belt,1
131,Deprecated Orc Acolyte's Belt,1
132,Deprecated Orc Acolyte's Boots,1
133,Deprecated Orc Acolyte's Shirt,1
134,Deprecated Stiff Leather Shirt,1
135,Deprecated Stiff Leather Pants,0
136,Deprecated Old Leather Boots,1
137,OLDNeophyte's Belt,1
138,Deprecated War Harness,1
139,Brawler's Pants,0
140,Brawler's Boots,1
141,OLDBrawler's Belt,1
